Country,GDP per capita (USD),Life satisfaction
Ecuador,12078.475,5.975
Egypt,10353.667,4.194
El Salvador,79904.42,6.13
Estonia,30494.096,5.429
Eswatini,81936.73,4.867
Ethiopia,16566.345,4.512
Finland,44976.777,7.406
France,43021.395,6.575
Gabon,15437.265,3.896
Georgia,12254.455,4.297
Germany,50845.527,6.75
Ghana,47940.147,4.633
Greece,28129.96,4.857
Guatemala,79393.745,6.123
Guinea,20616.948,3.656
Haiti,30668.503,4.518
Honduras,51770.415,4.788
Hong Kong,56359.3,5.474
Hungary,26485.412,4.8
Iceland,50450.742,7.561
India,51160.629,4.565
Indonesia,98010.166,5.399
Iran,13038.555,4.686
Iraq,98180.652,4.677
Ireland,57668.754,6.94
Israel,37204.504,7.278
Italy,39898.527,5.948
Jamaica,94381.477,5.709
Japan,39739.543,5.987
Jordan,10284.67,5.192
Kazakhstan,24355.756,5.855
Kenya,39805.854,4.419
Kosovo,87961.63,5.589
Kuwait,56647.438,6.295
Kyrgyzstan,47220.086,5.286
Laos,61933.403,4.876
Latvia,25423.645,5.098
Lebanon,16969.371,4.839
Lesotho,26394.458,4.898
Mexico,18887.568,7.187
